timestamp,service_id,server_cluster,cpu_util_pct,mem_util_pct,io_wait_ms,disk_io_ops,network_in_kbps,network_out_kbps,active_threads,request_rate_rps,avg_response_ms,p95_response_ms,error_rate_pct,gc_pause_ms,db_query_qps,db_avg_query_ms,cache_hit_pct,concurrent_sessions,rolling_cpu_1h,rolling_cpu_6h,rolling_mem_1h,rolling_mem_6h,bottleneck
2023-01-01 00:00:00,grievance_redressal,cluster-20,63.53,78.54,4.75,710,1798,1359,184,162.81,188.43,258.49,1.335,16.35,32.56,40.78,76.18,3584,63.53,63.53,78.54,78.54,NONE
2023-01-01 01:00:00,court_services,cluster-22,25.55,69.98,5.64,826,1801,589,237,61.5,89.22,334.32,2.942,12.49,37.28,39.58,62.28,3412,25.55,44.54,69.98,74.26,NONE
2023-01-01 02:00:00,passport_booking,cluster-24,33.12,62.1,8.06,933,1039,1055,230,73.12,105.82,353.2,0.266,1.27,56.86,48.71,69.6,1078,33.12,40.73333333333333,62.1,70.20666666666666,NONE
2023-01-01 03:00:00,pension_portal,cluster-25,86.73,71.18,2.27,330,1890,933,217,163.24,100.15,161.84,2.741,8.98,149.45,25.85,85.97,3590,86.73,52.2325,71.18,70.45,CPU
2023-01-01 04:00:00,grievance_redressal,cluster-19,65.65,40.41,4.11,162,730,678,170,8.21,102.35,210.91,1.972,6.02,26.25,42.18,71.86,3868,65.65,54.91600000000001,40.41,64.44200000000001,NONE
2023-01-01 05:00:00,business_registration,cluster-2,91.27,83.75,1.47,85,1095,1305,174,103.13,119.09,62.21,2.73,3.42,120.47,5.33,81.86,2515,91.27,60.975,83.75,67.66000000000001,CPU
2023-01-01 06:00:00,tax_filing,cluster-22,94.91,95.16,0.94,672,1348,1053,101,184.12,24.83,326.42,1.106,5.52,129.88,33.92,68.33,2174,94.91,66.205,95.16,70.42999999999999,CPU
2023-01-01 07:00:00,grievance_redressal,cluster-20,47.89,90.94,6.13,732,1186,680,60,177.06,214.75,93.6,2.487,16.8,143.3,17.55,74.59,3525,47.89,69.92833333333334,90.94,73.92333333333333,MEM
2023-01-01 08:00:00,passport_booking,cluster-1,42.41,48.79,2.05,127,1942,870,145,160.96,222.81,199.83,1.848,12.4,90.8,12.03,87.48,3790,42.41,71.47666666666667,48.79,71.705,NONE
2023-01-01 09:00:00,pension_portal,cluster-8,84.38,55.04,0.79,898,947,392,227,4.8,29.1,396.78,2.493,8.71,15.2,38.22,72.35,1491,84.38,71.085,55.04,69.015,CPU
2023-01-01 10:00:00,court_services,cluster-25,94.9,84.82,8.99,589,1788,1055,99,177.59,198.48,371.21,0.975,14.41,3.67,21.7,75.34,1386,94.9,75.96,84.82,76.41666666666666,CPU
2023-01-01 11:00:00,passport_booking,cluster-14,67.22,69.04,5.44,94,1618,695,145,182.38,36.62,165.51,2.752,19.36,66.55,32.63,69.0,1711,67.22,71.95166666666667,69.04,73.965,NONE
2023-01-01 12:00:00,passport_booking,cluster-9,79.64,65.55,1.52,922,1018,971,172,132.9,205.8,128.36,2.773,18.54,52.74,42.37,58.58,4627,79.64,69.40666666666667,65.55,69.03,NONE
2023-01-01 13:00:00,tax_filing,cluster-2,78.63,93.57,0.72,353,1004,918,97,60.13,160.99,138.09,1.424,1.94,129.37,29.19,93.81,1017,78.63,74.52999999999999,93.57,69.46833333333333,MEM
2023-01-01 14:00:00,welfare_disbursement,cluster-25,46.65,64.67,1.37,441,1162,848,231,98.24,90.46,289.67,1.201,6.65,89.64,24.79,50.93,4100,46.65,75.23666666666666,64.67,72.115,NONE
2023-01-01 15:00:00,pension_portal,cluster-23,63.07,63.11,4.82,703,695,947,183,152.64,161.19,304.03,1.726,6.26,126.51,32.94,55.59,687,63.07,71.685,63.11,73.46,NONE
2023-01-01 16:00:00,licensing,cluster-5,82.48,28.11,6.75,64,60,1172,99,162.7,136.53,125.77,0.601,11.08,85.66,49.82,82.07,376,82.48,69.61500000000001,28.11,64.00833333333334,CPU
2023-01-01 17:00:00,passport_booking,cluster-23,71.61,30.14,6.48,689,1100,1099,131,69.0,166.22,134.0,1.489,1.81,34.26,10.71,83.33,971,71.61,70.34666666666666,30.14,57.525,NONE
2023-01-01 18:00:00,welfare_disbursement,cluster-29,21.59,25.55,1.62,216,505,981,180,65.55,129.34,163.19,2.69,18.43,30.1,17.2,57.04,1202,21.59,60.671666666666674,25.55,50.85833333333333,NONE
2023-01-01 19:00:00,licensing,cluster-25,45.25,92.58,6.41,714,1104,406,90,147.37,197.76,201.61,1.096,15.65,59.42,47.04,78.52,3459,45.25,55.10833333333334,92.58,50.69333333333333,MEM
2023-01-01 20:00:00,pension_portal,cluster-8,30.84,55.22,4.17,112,652,273,77,137.43,30.41,371.11,2.208,2.46,4.59,49.77,89.82,388,30.84,52.47333333333333,55.22,49.11833333333333,NONE
2023-01-01 21:00:00,vehicle_registration,cluster-16,37.47,59.67,4.75,620,1520,740,209,102.88,99.18,59.28,1.869,5.09,74.7,30.1,86.02,182,37.47,48.20666666666667,59.67,48.545,NONE
2023-01-01 22:00:00,business_registration,cluster-22,87.91,87.56,8.05,252,1501,548,216,84.34,148.64,273.37,0.784,2.86,41.04,5.78,50.2,4353,87.91,49.11166666666667,87.56,58.453333333333326,CPU
2023-01-01 23:00:00,welfare_disbursement,cluster-16,22.77,70.08,3.46,206,1754,60,248,131.6,155.3,351.59,1.595,9.55,7.04,42.36,51.82,126,22.77,40.97166666666666,70.08,65.11,NONE
2023-01-02 00:00:00,land_records,cluster-13,36.49,70.1,1.64,564,1632,1154,240,6.97,59.0,303.18,2.558,17.8,71.29,33.38,70.99,2429,36.49,43.455000000000005,70.1,72.535,NONE
2023-01-02 01:00:00,vehicle_registration,cluster-20,43.22,46.94,8.76,600,1014,512,196,15.6,37.14,125.86,1.665,12.89,96.22,28.64,65.84,923,43.22,43.116666666666674,46.94,64.92833333333333,NONE
2023-01-02 02:00:00,business_registration,cluster-29,66.27,86.71,2.28,327,640,1083,178,114.83,24.83,216.86,2.091,12.11,15.29,48.45,54.2,2082,66.27,49.02166666666667,86.71,70.17666666666666,MEM
2023-01-02 03:00:00,tax_filing,cluster-15,60.06,37.27,3.08,150,563,901,210,42.45,114.99,368.6,2.326,1.49,91.36,10.99,58.68,798,60.06,52.78666666666666,37.27,66.44333333333333,NONE
2023-01-02 04:00:00,grievance_redressal,cluster-1,36.37,28.93,7.12,944,448,379,82,155.07,95.99,90.5,0.148,18.13,141.45,20.51,92.43,1791,36.37,44.196666666666665,28.93,56.67166666666666,NONE
2023-01-02 05:00:00,court_services,cluster-22,32.32,39.18,6.9,218,1605,346,60,154.59,150.6,395.63,0.154,5.62,56.6,33.18,66.56,4600,32.32,45.78833333333333,39.18,51.52166666666667,NONE
2023-01-02 06:00:00,land_records,cluster-3,37.76,44.81,8.04,581,436,1465,237,142.14,123.39,100.27,0.345,18.0,147.26,5.21,59.96,2514,37.76,46.0,44.81,47.306666666666665,NONE
2023-01-02 07:00:00,tax_filing,cluster-6,57.69,45.89,2.0,452,667,398,77,180.77,110.64,99.85,0.489,9.08,117.34,43.94,57.29,2889,57.69,48.41166666666666,45.89,47.13166666666666,NONE
2023-01-02 08:00:00,pension_portal,cluster-22,40.34,74.62,3.65,190,1880,6,239,28.6,213.96,334.5,2.434,10.58,1.64,39.3,76.56,4079,40.34,44.09,74.62,45.116666666666674,NONE
2023-01-02 09:00:00,tax_filing,cluster-14,91.07,41.12,1.43,396,1403,1414,96,52.22,162.95,339.92,1.307,12.1,141.79,15.57,70.9,1850,91.07,49.25833333333333,41.12,45.75833333333333,CPU
2023-01-02 10:00:00,grievance_redressal,cluster-4,54.79,75.07,5.5,836,1675,928,194,50.83,168.6,63.27,0.556,5.77,76.6,18.86,65.35,3267,54.79,52.32833333333334,75.07,53.44833333333333,NONE
2023-01-02 11:00:00,pension_portal,cluster-18,24.41,31.74,3.07,883,187,1158,123,156.59,107.82,108.91,1.595,16.71,90.16,18.75,66.57,2774,24.41,51.01,31.74,52.208333333333336,NONE
2023-01-02 12:00:00,land_records,cluster-15,74.69,35.89,6.95,242,1753,954,121,104.51,198.67,381.98,2.29,19.17,91.46,43.75,59.1,3158,74.69,57.165,35.89,50.72166666666666,NONE
2023-01-02 13:00:00,grievance_redressal,cluster-9,44.66,62.65,0.2,948,702,1043,186,50.91,54.98,147.77,0.42,5.67,58.79,19.45,83.59,1354,44.66,54.99333333333334,62.65,53.51499999999999,NONE
2023-01-02 14:00:00,licensing,cluster-18,69.01,93.22,0.78,201,1798,326,132,27.72,112.46,54.28,1.033,0.0,66.73,17.57,83.69,2329,69.01,59.77166666666667,93.22,56.615,MEM
2023-01-02 15:00:00,court_services,cluster-3,40.97,88.61,4.44,797,531,1457,163,178.66,30.85,138.91,0.583,10.51,77.91,38.29,51.46,3711,40.97,51.42166666666666,88.61,64.53,MEM
